CLLD,NOUN PROJECT,RANK
EYE,HAND,1
NOSE,CLOUD,2
EAR,WATER,3
SUN,FLOWER,4
BONE,STAR,5
TREE,PERSON,6
BIRD,TREE,7
STAR,LEAF,8
MOON,SUN,9
FISH,EYE,10
CLOUD,FIRE,11
LEAF,BABY,12
TONGUE,FISH,13
MOUTH,MOON,14
WATER,BIRD,15
FIRE,EGG,16
HAND,FINGER,17
EGG,MOUNTAIN,18
FOOT,BUG,19
FLOWER,FLAME,20
FEATHER,LIGHTNING,21
LEG,SKULL,22
MOUNTAIN,STORM,23
PERSON,TONGUE,24
BREAST,THUMB,25
SEED,BONE,26
RAIN (PRECIPITATION),MOUTH,27
GRASS,FOOT,28
FINGER,ROCK,29
ARM,ARM,30
RAINBOW,SEED,31
LIGHTNING,GRASS,32
RAINING OR RAIN,EAR,33
TOE,HILL,34
BUTTOCKS,LEG,35
PENIS,FEATHER,36
RIB,BERRY,37
THUMB,GRAIN,38
BABY,RAINBOW,39
TESTICLES,NOSE,40
HILL,EYEBALL,41
GRAIN,RAIN (RAINING),42
SPINE,FOOTPRINT,43
STORM,BREAST,44
RAIN (RAINING),SPIDER WEB,45
SKULL,SHOOTING STAR,46
FOOTPRINT,ECLIPSE,47
EYELID,MOLAR TOOTH,48
FLAME,RAINING OR RAIN,49
COPULATE,MOUNTAIN OR HILL,50
ARM OR HAND,TOE,51
SPIDER WEB,SHRUB,52
ROCK,SPINE,53
VULVA,ARM OR HAND,54
MOLAR TOOTH,STORM CLOUDS,55
STONE OR ROCK,STONE OR ROCK,56
BERRY,RAIN (PRECIPITATION),57
EMBERS,PENIS,58
LOWER ARM,RIB,59
MOUNTAIN OR HILL,STUMP OF TREE,60
EARLOBE,EYELID,61
LOWER LEG,BUTTOCKS,62
METEOROID (SHOOTING OR SHINING STAR),VULVA,63
EYEBALL,TESTICLES,64
TOENAIL,EARLOBE,65
STORM CLOUDS,EMBERS,66
BUG,PELT,67
ECLIPSE,TOENAIL,68
SHRUB,METEOROID (SHOOTING OR SHINING STAR),69
PELT,COPULATE,70
STUMP OF TREE,LOWER LEG,71
SHOOTING STAR,LOWER ARM,72
PELT,COPULATE,73
STUMP OF TREE,LOWER LEG,74
SHOOTING STAR,LOWER ARM,75
,,